pc1,pc2,pc3,file_name
-4.220012169,-4.761117602,-3.415647261,entertainment_animation_326.jpg
-4.037673099,-4.96011908,-3.568786641,entertainment_animation_337.jpg
-4.187419995,-4.93769398,-3.653416776,entertainment_animation_351.jpg
-3.712081714,-4.885288522,-3.492039907,entertainment_animation_36.jpg
-4.164300032,-4.717799119,-4.077789562,entertainment_animation_389.jpg
-3.886798247,-5.251852342,-3.557238266,entertainment_animation_404.jpg
-3.815185594,-5.122484291,-3.649405312,entertainment_animation_409.jpg
-3.516828056,-4.734124442,-3.420879383,entertainment_animation_41.jpg
-3.970505784,-4.537592219,-3.327047538,entertainment_animation_440.jpg
-4.166776935,-4.49929084,-3.581988297,entertainment_animation_447.jpg
-3.987190884,-4.837948874,-3.703614216,entertainment_animation_456.jpg
-3.820125828,-5.074555975,-3.78633459,entertainment_animation_514.jpg
-3.447880518,-4.79887336,-3.668312996,entertainment_animation_517.jpg
-4.177883304,-5.046670104,-3.879970402,entertainment_animation_575.jpg
-3.881535422,-5.27343072,-3.874022053,entertainment_animation_589.jpg
-3.674492463,-4.60159409,-3.261223357,entertainment_animation_590.jpg
-3.783949501,-3.271520712,-3.051548947,entertainment_animation_650.jpg
-4.122793952,-4.193715602,-3.412141904,entertainment_animation_688.jpg
-3.817213922,-4.925893357,-3.552684358,entertainment_animation_734.jpg
-3.964282617,-4.759799579,-3.724095518,entertainment_animation_791.jpg
-3.603009519,-4.368749245,-3.236894094,entertainment_animation_792.jpg
-3.677312548,-5.151701242,-3.294041813,entertainment_animation_799.jpg
-4.050255502,-4.54141877,-3.259634822,entertainment_animation_81.jpg
-3.531216237,-4.819516909,-3.654405731,entertainment_animation_816.jpg
-3.571997539,-5.034016573,-3.45019199,entertainment_animation_86.jpg
-3.483804963,0.191516176,5.694638538,entertainment_celeb_1015.jpg
-3.716442994,-0.257105975,5.969150706,entertainment_celeb_1061.jpg
-3.10177272,-1.269487488,5.012889707,entertainment_celeb_1099.jpg
-3.733960048,-1.176190365,4.077440301,entertainment_celeb_1154.jpg
-3.481441853,-1.113443548,5.313559275,entertainment_celeb_1286.jpg
-4.014306455,-1.029526431,5.650163774,entertainment_celeb_1374.jpg
-3.95837059,-0.765504131,5.725782096,entertainment_celeb_1413.jpg
-3.974133863,-0.672093836,5.775320934,entertainment_celeb_1420.jpg
-3.994913963,-0.933914356,5.732822481,entertainment_celeb_1431.jpg
-3.290040831,-1.597283844,5.237082152,entertainment_celeb_1499.jpg
-3.578702868,-1.059154302,4.80118693,entertainment_celeb_1572.jpg
-3.977174289,-0.593829178,5.463441563,entertainment_celeb_1706.jpg
-4.066258425,-0.836583935,5.454371252,entertainment_celeb_1708.jpg
-3.697190693,-1.187430366,5.446160051,entertainment_celeb_172.jpg
-3.194716949,-0.533704144,5.108898026,entertainment_celeb_1742.jpg
-3.796407002,-0.552710479,6.229702855,entertainment_celeb_19.jpg
-3.880328485,-0.501399387,5.32516135,entertainment_celeb_206.jpg
-3.124012238,-1.811269367,4.474868582,entertainment_celeb_237.jpg
-3.791800528,-0.241445407,5.685428821,entertainment_celeb_290.jpg
-3.42976088,-0.421823682,5.394282504,entertainment_celeb_308.jpg
-4.086860871,-0.252529192,6.424947366,entertainment_celeb_407.jpg
-3.757545307,-0.856928567,5.856493702,entertainment_celeb_483.jpg
-3.561673565,-0.898629815,4.758126892,entertainment_celeb_510.jpg
-3.855809301,-0.944293089,5.875241986,entertainment_celeb_539.jpg
-3.43195276,-1.058237446,5.402715701,entertainment_celeb_609.jpg
-3.834885773,0.490177415,5.035085405,entertainment_celeb_667.jpg
-3.738564933,-1.118848904,5.00860613,entertainment_celeb_750.jpg
-3.71939945,-0.577636947,4.792021462,entertainment_celeb_787.jpg
-3.666601137,-0.854112064,5.502986413,entertainment_celeb_858.jpg
-3.510129881,-0.728950229,5.078255755,entertainment_celeb_885.jpg
-3.036853808,5.600096048,-1.781198945,vehicle_car_110.jpg
-2.933654326,6.529496332,-1.97710827,vehicle_car_124.jpg
-3.119612377,6.119945249,-1.39286384,vehicle_car_136.jpg
-3.038826501,6.543479268,-2.087317242,vehicle_car_160.jpg
-3.127953723,5.370977291,-2.228944739,vehicle_car_161.jpg
-3.009380557,6.033024629,-1.540072543,vehicle_car_180.jpg
-2.980243114,5.887288198,-1.327812182,vehicle_car_20.jpg
-2.87694611,6.436925307,-2.404490083,vehicle_car_207.jpg
-2.673630527,6.956219616,-1.780047743,vehicle_car_217.jpg
-3.443695418,6.374273656,-1.277394434,vehicle_car_22.jpg
-2.349514479,4.965518107,-2.770059405,vehicle_car_271.jpg
-2.228942456,5.059329944,-2.461880111,vehicle_car_276.jpg
-3.339137704,6.835215989,-1.691828571,vehicle_car_28.jpg
-1.89363619,6.512826538,-1.995951547,vehicle_car_314.jpg
-3.132990403,6.83536277,-1.570009865,vehicle_car_425.jpg
-2.9536227,6.384447519,-1.446600394,vehicle_car_515.jpg
-2.690955934,5.95296572,-1.642517427,vehicle_car_550.jpg
-3.104617117,6.394874265,-1.761507974,vehicle_car_601.jpg
-2.857718272,6.223361458,-2.112833643,vehicle_car_611.jpg
-2.690841072,6.65841283,-2.510504999,vehicle_car_639.jpg
-1.984891575,6.340686885,-2.248293271,vehicle_car_655.jpg
-2.117182197,6.909738392,-2.452632462,vehicle_car_664.jpg
-1.941535001,6.353746787,-2.69726887,vehicle_car_687.jpg
-2.528417809,5.778669135,-2.612392615,vehicle_car_690.jpg
-2.665232063,6.819817162,-2.09031158,vehicle_car_698.jpg
-2.885016707,6.483230539,-2.512350791,vehicle_car_767.jpg
-1.920849082,5.998651112,-2.80489574,vehicle_car_772.jpg
-2.659699003,6.852620597,-2.412492912,vehicle_car_795.jpg
-3.430629187,6.97401546,-1.726844228,vehicle_car_95.jpg
-3.059542975,6.980288425,-1.604418475,vehicle_car_96.jpg
